date,lat,lon,tmax
1970-03-22,41.5,-70.5,7.6961155
1970-03-22,42.5,-71.5,8.411261
1970-03-22,42.5,-70.5,7.3594003
1970-03-23,41.5,-71.5,7.780333
1970-03-23,41.5,-70.5,6.8416643
1970-03-23,42.5,-71.5,7.6919746
1970-03-23,42.5,-70.5,6.0261316
1970-03-24,41.5,-71.5,8.11961
1970-03-24,41.5,-70.5,7.459438
1970-03-24,42.5,-71.5,7.325061
1970-03-24,42.5,-70.5,6.5280232
1970-03-25,41.5,-71.5,9.2860155
1970-03-25,41.5,-70.5,8.370089
1970-03-25,42.5,-71.5,8.592463
1970-03-25,42.5,-70.5,7.4972787
1970-03-26,41.5,-71.5,9.833514
1970-03-26,41.5,-70.5,8.449039
1970-03-26,42.5,-71.5,9.206156
1970-03-26,42.5,-70.5,7.316572
1970-03-27,41.5,-71.5,10.1172
1970-03-27,41.5,-70.5,9.052311
1970-03-27,42.5,-71.5,9.227101
1970-03-27,42.5,-70.5,7.8433256
1970-03-28,41.5,-71.5,8.678299
1970-03-28,41.5,-70.5,7.5620046
1970-03-28,42.5,-71.5,8.538469
1970-03-28,42.5,-70.5,6.8793044
1970-03-29,41.5,-71.5,7.156045
1970-03-29,41.5,-70.5,5.968215
1970-03-29,42.5,-71.5,7.2494183
1970-03-29,42.5,-70.5,5.304493
1970-03-30,41.5,-71.5,3.450037
1970-03-30,41.5,-70.5,2.7095094
1970-03-30,42.5,-71.5,3.9962783
1970-03-30,42.5,-70.5,2.5817337
1970-03-31,41.5,-71.5,2.914215
1970-03-31,41.5,-70.5,1.891427
1970-03-31,42.5,-71.5,4.00519
1970-03-31,42.5,-70.5,2.0458388
1970-04-01,41.5,-71.5,6.576608
1970-04-01,41.5,-70.5,5.3565645
1970-04-01,42.5,-71.5,7.4421916
1970-04-01,42.5,-70.5,6.0253396
1970-04-02,41.5,-71.5,9.938652
1970-04-02,41.5,-70.5,8.61085
1970-04-02,42.5,-71.5,9.418161
1970-04-02,42.5,-70.5,7.336356
1970-04-03,41.5,-71.5,9.446439
1970-04-03,41.5,-70.5,8.766529
1970-04-03,42.5,-71.5,8.398656
