date,lat,lon,tmin
1970-02-15,41.5,-71.5,-10.507865
1970-02-15,41.5,-70.5,-10.4568205
1970-02-15,42.5,-71.5,-12.6250515
1970-02-15,42.5,-70.5,-11.787361
1970-02-16,41.5,-71.5,-7.086897
1970-02-16,41.5,-70.5,-6.6874394
1970-02-16,42.5,-71.5,-8.740995
1970-02-16,42.5,-70.5,-7.92283
1970-02-17,41.5,-71.5,-10.679948
1970-02-17,41.5,-70.5,-10.172945
1970-02-17,42.5,-71.5,-14.772144
1970-02-17,42.5,-70.5,-13.356127
1970-02-18,41.5,-71.5,-6.989259
1970-02-18,41.5,-70.5,-6.207439
1970-02-18,42.5,-71.5,-10.110449
1970-02-18,42.5,-70.5,-8.223487
1970-02-19,41.5,-71.5,-4.6005154
1970-02-19,41.5,-70.5,-4.349822
1970-02-19,42.5,-71.5,-5.601193
1970-02-19,42.5,-70.5,-4.790036
1970-02-20,41.5,-71.5,-11.3542595
1970-02-20,41.5,-70.5,-11.246842
1970-02-20,42.5,-71.5,-12.942169
1970-02-20,42.5,-70.5,-12.874814
1970-02-21,41.5,-71.5,-10.985783
1970-02-21,41.5,-70.5,-10.8800125
1970-02-21,42.5,-71.5,-11.774371
1970-02-21,42.5,-70.5,-11.810534
1970-02-22,41.5,-71.5,-8.771805
1970-02-22,41.5,-70.5,-9.361689
1970-02-22,42.5,-71.5,-9.690352
1970-02-22,42.5,-70.5,-10.428863
1970-02-23,41.5,-71.5,-7.11579
1970-02-23,41.5,-70.5,-7.933481
1970-02-23,42.5,-71.5,-9.030405
1970-02-23,42.5,-70.5,-9.842871
1970-02-24,41.5,-71.5,-11.343828
1970-02-24,41.5,-70.5,-11.965897
1970-02-24,42.5,-71.5,-13.088682
1970-02-24,42.5,-70.5,-13.842638
1970-02-25,41.5,-71.5,-6.7707877
1970-02-25,41.5,-70.5,-7.1203837
1970-02-25,42.5,-71.5,-8.26814
1970-02-25,42.5,-70.5,-8.422399
1970-02-26,41.5,-71.5,-16.221806
1970-02-26,41.5,-70.5,-15.560919
1970-02-26,42.5,-71.5,-17.973864
1970-02-26,42.5,-70.5,-17.36737
1970-02-27,41.5,-71.5,-15.026688
1970-02-27,41.5,-70.5,-15.351568
1970-02-27,42.5,-71.5,-16.833395
1970-02-27,42.5,-70.5,-16.894712
1970-02-28,41.5,-71.5,-6.577601
1970-02-28,41.5,-70.5,-7.051484
1970-02-28,42.5,-71.5,-8.001401
1970-02-28,42.5,-70.5,-7.904165
1970-03-01,41.5,-71.5,-9.029845
1970-03-01,41.5,-70.5,-9.382437
1970-03-01,42.5,-71.5,-10.1924095
1970-03-01,42.5,-70.5,-10.409935
1970-03-02,41.5,-71.5,-4.748317
1970-03-02,41.5,-70.5,-5.7552037
1970-03-02,42.5,-71.5,-5.440957
1970-03-02,42.5,-70.5,-6.398267
1970-03-03,41.5,-71.5,-6.648425
1970-03-03,41.5,-70.5,-7.2762794
1970-03-03,42.5,-71.5,-8.59897
1970-03-03,42.5,-70.5,-9.407295
1970-03-04,41.5,-71.5,-9.058965
1970-03-04,41.5,-70.5,-9.542164
1970-03-04,42.5,-71.5,-11.559692
1970-03-04,42.5,-70.5,-11.552153
1970-03-05,41.5,-71.5,-3.238056
1970-03-05,41.5,-70.5,-4.133495
1970-03-05,42.5,-71.5,-3.9241657
1970-03-05,42.5,-70.5,-4.4699316
1970-03-06,41.5,-71.5,-2.6758294
1970-03-06,41.5,-70.5,-3.7191625
1970-03-06,42.5,-71.5,-2.240499
1970-03-06,42.5,-70.5,-3.5350072
1970-03-07,41.5,-71.5,-6.8565397
1970-03-07,41.5,-70.5,-7.546976
1970-03-07,42.5,-71.5,-7.198311
1970-03-07,42.5,-70.5,-8.015919
1970-03-08,41.5,-71.5,-6.3689613
1970-03-08,41.5,-70.5,-7.232063
1970-03-08,42.5,-71.5,-6.5458727
1970-03-08,42.5,-70.5,-7.477569
1970-03-09,41.5,-71.5,-10.855555
1970-03-09,41.5,-70.5,-11.087053
1970-03-09,42.5,-71.5,-11.430037
1970-03-09,42.5,-70.5,-11.759634
1970-03-10,41.5,-71.5,-9.369436
1970-03-10,41.5,-70.5,-9.6788225
1970-03-10,42.5,-71.5,-9.291783
1970-03-10,42.5,-70.5,-9.825188
1970-03-11,41.5,-71.5,-6.872258
1970-03-11,41.5,-70.5,-7.2656627
1970-03-11,42.5,-71.5,-6.80488
1970-03-11,42.5,-70.5,-7.4190516
1970-03-12,41.5,-71.5,-5.0177355
1970-03-12,41.5,-70.5,-5.6641655
1970-03-12,42.5,-71.5,-4.87685
1970-03-12,42.5,-70.5,-5.780122
1970-03-13,41.5,-71.5,-2.9264107
1970-03-13,41.5,-70.5,-4.2126155
1970-03-13,42.5,-71.5,-2.8054318
1970-03-13,42.5,-70.5,-4.5654345
1970-03-14,41.5,-71.5,-3.77077
1970-03-14,41.5,-70.5,-4.695543
1970-03-14,42.5,-71.5,-3.176382
1970-03-14,42.5,-70.5,-4.6859055
1970-03-15,41.5,-71.5,-6.3966374
1970-03-15,41.5,-70.5,-6.7165465
1970-03-15,42.5,-71.5,-6.0415416
1970-03-15,42.5,-70.5,-6.5961165
1970-03-16,41.5,-71.5,-8.156259
1970-03-16,41.5,-70.5,-8.10469
1970-03-16,42.5,-71.5,-10.12426
1970-03-16,42.5,-70.5,-9.710216
1970-03-17,41.5,-71.5,-7.4556913
1970-03-17,41.5,-70.5,-7.8941
1970-03-17,42.5,-71.5,-8.168535
1970-03-17,42.5,-70.5,-8.616949
1970-03-18,41.5,-71.5,-6.371255
1970-03-18,41.5,-70.5,-7.0933867
1970-03-18,42.5,-71.5,-7.0244555
1970-03-18,42.5,-70.5,-7.7432
1970-03-19,41.5,-71.5,-3.3397212
1970-03-19,41.5,-70.5,-4.397544
1970-03-19,42.5,-71.5,-3.887974
1970-03-19,42.5,-70.5,-5.4141293
1970-03-20,41.5,-71.5,-5.9328823
1970-03-20,41.5,-70.5,-6.541805
1970-03-20,42.5,-71.5,-5.832774
